iter	Passed	Remaining
0	1	145
1	2	119
2	3	105
3	3	89
4	4	88
5	5	82
6	6	79
7	6	75
8	7	72
9	7	69
10	8	66
11	8	65
12	9	62
13	9	60
14	10	59
15	10	57
16	11	56
17	12	55
18	12	54
19	13	52
20	13	51
21	14	50
22	14	49
23	15	48
24	15	47
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	43
31	20	42
32	21	42
33	21	42
34	22	42
35	23	42
36	24	41
37	25	42
38	27	42
39	28	42
40	29	42
41	29	41
42	30	40
43	31	40
44	32	40
45	33	39
46	34	39
47	36	39
48	37	38
49	38	38
50	39	37
51	40	37
52	41	36
53	42	36
54	43	35
55	44	35
56	45	34
57	46	33
58	47	32
59	48	32
60	49	31
61	50	31
62	51	30
63	52	29
64	54	29
65	55	28
66	56	27
67	57	26
68	58	26
69	59	25
70	60	24
71	61	23
72	62	22
73	63	22
74	64	21
75	65	20
76	66	19
77	66	18
78	68	18
79	69	17
80	70	16
81	71	15
82	72	14
83	73	14
84	74	13
85	76	12
86	76	11
87	77	10
88	78	9
89	79	8
90	80	7
91	81	7
92	82	6
93	83	5
94	84	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
