iter	Passed	Remaining
0	117	117319
1	119	59622
2	121	40303
3	123	30812
4	126	25116
5	128	21211
6	129	18401
7	131	16285
8	133	14648
9	134	13345
10	136	12290
11	138	11373
12	139	10620
13	141	9966
14	142	9381
15	144	8868
16	145	8416
17	146	8008
18	148	7650
19	149	7321
20	150	7016
21	151	6746
22	152	6490
23	153	6262
24	155	6076
25	157	5899
26	158	5721
27	159	5551
28	160	5389
29	162	5241
30	163	5100
31	164	4968
32	165	4842
33	166	4725
34	167	4615
35	168	4509
36	169	4417
37	171	4329
38	172	4240
39	173	4161
40	174	4088
41	176	4019
42	177	3945
43	178	3875
44	179	3811
45	180	3748
46	181	3688
47	183	3629
48	184	3574
49	185	3528
50	186	3478
51	187	3427
52	189	3378
53	190	3329
54	191	3284
55	192	3240
56	193	3196
57	194	3153
58	195	3113
59	196	3073
60	197	3032
61	197	2993
62	199	2964
63	200	2935
64	201	2902
65	202	2870
66	203	2836
67	204	2803
68	205	2772
69	206	2741
70	207	2710
71	208	2680
72	208	2653
73	209	2626
74	210	2598
75	211	2573
76	212	2547
77	213	2525
78	214	2505
79	215	2483
80	217	2462
81	217	2439
82	218	2412
83	219	2389
84	219	2366
85	220	2344
86	221	2322
87	222	2302
88	222	2282
89	223	2261
90	224	2241
91	225	2223
92	225	2204
93	226	2185
94	227	2168
95	228	2152
96	229	2139
97	230	2124
98	231	2108
99	232	2092
100	233	2075
101	234	2062
102	235	2048
103	235	2032
104	236	2018
105	237	2004
106	238	1992
107	239	1979
108	240	1965
109	241	1952
110	242	1938
111	242	1926
112	244	1918
113	245	1907
114	246	1896
115	247	1884
116	247	1871
117	248	1859
118	249	1847
119	250	1836
120	251	1826
121	251	1813
122	252	1802
123	253	1791
124	254	1783
125	255	1773
126	256	1761
127	257	1751
128	258	1743
129	259	1737
130	260	1728
131	261	1719
132	262	1710
133	263	1701
134	263	1691
135	264	1681
136	265	1672
137	266	1664
138	267	1655
139	268	1646
140	269	1638
141	269	1628
142	270	1620
143	271	1612
144	272	1604
145	273	1598
146	274	1593
147	275	1586
148	276	1578
149	277	1572
150	278	1567
151	279	1561
152	280	1553
153	281	1545
154	282	1537
155	282	1530
156	283	1523
157	284	1516
158	285	1510
159	286	1503
160	286	1494
161	287	1489
162	289	1487
163	290	1482
164	291	1477
165	292	1471
166	293	1466
167	294	1460
168	295	1453
169	296	1447
170	297	1441
171	298	1436
172	299	1430
173	300	1424
174	300	1418
175	301	1413
176	303	1409
177	304	1406
178	305	1400
179	306	1395
180	307	1390
181	308	1384
182	308	1379
183	309	1373
184	310	1368
185	311	1363
186	312	1357
187	313	1352
188	314	1347
189	314	1342
190	316	1339
191	317	1335
192	318	1332
193	319	1328
194	320	1323
195	321	1319
196	322	1314
197	323	1309
198	324	1304
199	324	1299
200	325	1295
201	326	1290
202	327	1285
203	328	1281
204	329	1276
205	330	1272
206	331	1268
207	332	1264
208	333	1262
209	334	1258
210	335	1254
211	336	1250
212	337	1246
213	338	1241
214	338	1237
215	339	1233
216	340	1228
217	341	1224
218	342	1220
219	343	1216
220	344	1212
221	344	1208
222	345	1204
223	346	1201
224	348	1199
225	349	1196
226	350	1193
227	351	1189
228	352	1185
229	352	1181
230	353	1177
231	354	1173
232	355	1169
233	356	1166
234	357	1162
235	358	1160
236	359	1157
237	360	1153
238	361	1150
239	362	1147
240	363	1145
241	364	1143
242	365	1139
243	366	1136
244	367	1133
245	369	1132
